Title,Header,Table format,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What are ways to create hospital infrastructure to prevent nosocomial outbreaks and protect uninfected patients?,Non-pharmaceutical Interventions,1,,,,,Format 1: Population,,,,,,,,,,,,,,,,,,,,,,,,
"Methods to control the spread in communities, barriers to compliance and how these vary among different populations.",Non-pharmaceutical Interventions,1,,,,,Example: What are ways to create hospital infrastructure to prevent nosocomial outbreaks and protect uninfected patients?,,,,,,,,,,,,,,,,,,,,,,,,
What do we know about viral shedding in the nasopharynx?,Persistence of sources,5,,,,,5/10/2020,Geospatial Hotspots Need Point-of-Care Strategies to Stop Highly Infectious Outbreaks: Ebola and Coronavirus.,https://www.ncbi.nlm.nih.gov/pubmed/32298139,Arch Pathol Lab Med,Review,Serological Immunoassay,stues: 138,-,-,-,Y,,,,,,,,,,,,,,
What do we know about viral shedding in urine?,Persistence of sources,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What do we know about viral shedding in blood?,Persistence of sources,5,,,,,"Format 7: Therapeutics, interventions, and clinical trials",,,,,,,,,,,,,,,,,,,,,,,,
How long can the 2019-nCoV virus remain viable on common surfaces?,Persistence on surfaces,5,,,,,Example: What is the efficacy of novel therapeutics being tested currently?,,,,,,,,,,,,,,,,,,,,,,,,
"Persistence of virus on surfaces of different materials (e,g., copper, stainless steel, plastic)",Persistence on surfaces,5,,,,,Date,Study,Study Link,Journal,Study Type,Therapeutic method(s) utilized/assessed,Sample,Severity of Symptoms,General Outcome/Conclusion Excerpt,Primary Endpoint(s) of Study,Clinical Improvement (Y/N),Added on,DOI,CORD_UID,,,,,,,,,,,
Coronavirus adhesion to hydrophilic/phobic surfaces,Physical science,5,,,,,5/10/2020,Umifenovir treatment is not associated with improved outcomes in patients with coronavirus disease 2019: A retrospective study,https://doi.org/10.1016/j.cmi.2020.04.026,Clinical Microbiology and Infection,Retrospective Observational Study,Umifenovir,81,Varied,"33/45 (73.3%) patients in umifenovir group were tested negative in SARS-CoV-2 within 7 days after admission, the number was 28/36 (77.8%) in control group (p=0.19). The median time from onset of symtoms to SARS-CoV-2 turning negative were 18 days (interquartile range [IQR] 12-21) in umifenovir group and 16 days (IQR, 11-21) in control group (p= 0.42). Patients in umifenovir group had longer hospital stay than patients in control group (13 days [IQR, 9-17] vs 11 days [IQR, 9-14], p=0.04). No deaths or severe adverse reaction were found in both groups.",Negative rate of pharyngeal swab for SARS-CoV-2 within 1 week after admission and duration for virus turning negative,N,5/10/2020,,,,,,,,,,,,,
Susceptibility to environmental cleaning agents,Physical science,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Informing decontamination based on physical science of the coronavirus,Physical science,5,,,,,Format 8: Risk factors,,,,,,,,,,,,,,,,,,,,,,,,
Development of a point-of-care test and rapid bed-side tests,Diagnostics,6,,,,,Example: Hypertension,,,,,,,,,,,,,,,,,,,,,,,,
What do we know about new advances being made in diagnosing SARS-COV-2?,Diagnostics,6,,,,,Date,Study,Study Link,Journal,Study Type,Severity of Disease,Severity lower bound,Severity upper bound,Severity p-value,Severe significance,Severe adjusted,Hand-calculated Severe,Fatality,Fatality lower bound,Fatality upper bound,Fatality p-value,Fatality significance,Fatality adjusted,Hand-calculated Fatality,Multivariate adjustment,Sample size,Study population,Added on,DOI,CORD_UID
What is the best method to combat the hypercoagulable state seen in COVID-19?,Vaccine and Therapeutics,7,,,,,5/10/2020,Prognostic factors for COVID-19 pneumonia progression to severe symptom based on the earlier clinical features: a retrospective analysis,http://doi.org/10.1101/2020.03.28.20045989,medRxiv,Retrospective Observational Study,OR 8.41,2.96,23.89,-,Significant,Not Adjusted,Calculated,-,-,-,-,-,-,-,-,125,Only those with mild COVID-19 on admission w/length of stay >3 days and duration of infection > 7 days at Guangzhou Eighth People's Hospital from Jan 20-Feb 29.,5/10/2020,,
What is the efficacy of novel therapeutics being tested currently?,Vaccine and Therapeutics,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypertension,Risk factors,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetes,Risk factors,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male gender,Risk factors,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart Disease,Risk factors,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COPD,Risk factors,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smoking Status,Risk factors,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age,Risk factors,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cerebrovascular disease,Risk factors,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardio- and cerebrovascular disease,Risk factors,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancer,Risk factors,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Respiratory system diseases,Risk factors,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chronic kidney disease,Risk factors,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chronic respiratory diseases,Risk factors,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drinking,Risk factors,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overweight or obese,Risk factors,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chronic liver disease,Risk factors,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Immune system disorders,Risk factors,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asthma,Risk factors,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dementia,Risk factors,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endocrine diseases,Risk factors,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
